"action","reason","id","family_name","category","symbols","used_symbols_detected","review_candidate"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2595784","AreasParaPrancha","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2596052","AreasParaPranchaComPermeabilidade","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2892658","Botoeira","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2892687","Campanhia","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","3362462","Carimbo Aula","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","3363041","Carimbo Edgard Padrao Revit","Anotações genéricas","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","4041124","Carimbo Estrutural","Anotações genéricas","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4618150","Dados do Painel","Anotações genéricas","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4623519","ELE_-_Identifica_o_de_Fia_o","Anotações genéricas","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4623498","Eletroduto que sobe, desce ou passa","Anotações genéricas","0","0","NAO"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2283065","Esc 1 a 10","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2284116","Esc 1 a 100","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2285133","Esc 1 a 1000","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2283453","Esc 1 a 20","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2284470","Esc 1 a 200","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2283767","Esc 1 a 50","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2284784","Esc 1 a 500","Anotações genéricas","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","4623219","Fiação","Anotações genéricas","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4944918","Informações do Projetista","Anotações genéricas","0","0","NAO"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2893170","Interruptor Duplo","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2892923","Interruptor Paralelo1","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2892774","Interruptor Simples","Anotações genéricas","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","4100113","M_Centreline","Anotações genéricas","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","3625491","M_Linha central","Anotações genéricas","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4100413","M_North Arrow-2","Anotações genéricas","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4488529","M_Seta norte-1","Anotações genéricas","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","3625546","M_Seta norte-2","Anotações genéricas","0","0","NAO"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","1160675","Norte NBR 6492","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2572384","Nível Falso em Corte","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2318804","Nível Falso em Planta Baixa","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","3133553","Pontos de Instalações","Anotações genéricas","4","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2892948","Quadro de distribuição","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2893100","Registro de gaveta","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2893059","Registro de pressão","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2901638","SI_Seta de Piso","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2319944","Seta Inclinação Telhado ""falso""","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","1211877","Seta de Rampa ""falso""","Anotações genéricas","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","4489490","Seta de norte","Anotações genéricas","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","3631603","Seta norte-1","Anotações genéricas","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4944766","Seção de Perfil W","Anotações genéricas","0","0","NAO"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","4944668","Sheet-Tag-Dimensão-folha","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2186421","Símbolo - Acesso","Anotações genéricas","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","3636679","Símbolo - Norte","Anotações genéricas","0","0","NAO"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","1193422","Símbolo de Corte","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","1193624","Símbolo de Elevação","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","1212072","Símbolo de Paginação de Piso","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","118417","Símbolo de Piso","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2892571","TV a cabo","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2892799","Tomada Alta Simples","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2892828","Tomada Baixa Simples","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2892853","Tomada Média Simples","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2893141","Tomada de piso","Anotações genéricas","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","4620882","Unifilar_IDR","Anotações genéricas","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4620865","Unifilar_Interligação entre Quadros","Anotações genéricas","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4620844","Unifilar_Medidor de Entrada Principal","Anotações genéricas","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4620810","Unifilar_QDC","Anotações genéricas","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4620772","Unifilares_Circuitos Reserva","Anotações genéricas","0","0","NAO"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2892716","interfone","Anotações genéricas","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2500030","seta de piso","Anotações genéricas","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","4489690","Balaústre - Quadrado","Balaústres","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","3634743","Baluster - Domestic","Balaústres","0","0","NAO"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","1766163","Baluster - Rectangular","Balaústres","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","3634362","Baluster - Round1","Balaústres","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","3633979","Baluster-Panel-BLADE-Wire Mesh","Balaústres","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","3634061","Baluster-Picket Mount-VIVA-BLADE","Balaústres","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","3634045","Baluster-Picket-VIVA-BLADE-Round","Balaústres","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","3634021","Baluster-Post-VIVA-BLADE","Balaústres","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","3634794","Bracket - Wall Mounted Handrail","Balaústres","0","0","NAO"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","1766176","Glass Panel w fixings","Balaústres","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","3625947","M_Balaústre - Aço plano de pé","Balaústres","0","0","NAO"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","2207272","M_Balaústre - Quadrado","Balaústres","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","3635226","M_Balaústre - Quadrado1","Balaústres","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","3625740","M_Balaústre - Redondo","Balaústres","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","3635792","M_Baluster - Square","Balaústres","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","3625960","M_Painel - Vidro","Balaústres","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","3634756","Newel - Domestic","Balaústres","0","0","NAO"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","2611732","balaustre","Balaústres","1","0","SIM"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","2611801","perfil circular","Balaústres","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","3304575","A0 métrico_ABNT","Blocos de margens e carimbo","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","4040925","A0 métrico_ABNT 2","Blocos de margens e carimbo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4041049","A0 métrico_ABNT.0001","Blocos de margens e carimbo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4094384","A1 metric","Blocos de margens e carimbo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","3626228","A1 métrico","Blocos de margens e carimbo","0","0","NAO"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","3304952","A1 métrico_ABNT- Sydor","Blocos de margens e carimbo","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","3630526","A2 métrico_ABNT","Blocos de margens e carimbo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4612192","A3 métrico","Blocos de margens e carimbo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","3630606","A3 métrico_ABNT","Blocos de margens e carimbo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","3630442","A4 métrico_ABNT","Blocos de margens e carimbo","0","0","NAO"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2827292","CAPA - A4 VERTICAL","Blocos de margens e carimbo","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2832113","FOLHAS ABNT - SÉRIE A","Blocos de margens e carimbo","6","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2834205","Folha Levantamento Inicial","Blocos de margens e carimbo","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","3636713","Folha de desenho","Blocos de margens e carimbo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4944943","Formatos ISO-A-Gerdau","Blocos de margens e carimbo","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","3636730","Legenda PMJP","Blocos de margens e carimbo","0","0","NAO"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2581980","PRANCHA COM CARIMBO","Blocos de margens e carimbo","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2826604","PRANCHA COM CARIMBO - MODELO 02","Blocos de margens e carimbo","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2348479","PRANCHA SEM CARIMBO","Blocos de margens e carimbo","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","3293473","a1","Blocos de margens e carimbo","1","0","SIM"
"PROTEGER_REVISAR","Categoria de anotacao/carimbo/tag; pode parecer sem uso no template mas e importante","2595489","pranchaTabelaDeRevisoes","Blocos de margens e carimbo","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","4490986","Coluna para casa popular pre moldada","Colunas","0","0","NAO"
"REMOVER_SUGERIDO","Familia generica/MEP detalhada ou sistema pouco usado no fluxo Edgard inicial","3463772","M_Coluna retangular","Colunas","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","55418","col - COLUNA RETANGULAR","Colunas","2","0","SIM"
"REVISAR_COM_USUARIO","Pode ser util, mas precisa escolher kit padrao antes de manter tudo","3310720","Bancada 02","Componentes de gabinete","1","0","SIM"
"REVISAR_COM_USUARIO","Pode ser util, mas precisa escolher kit padrao antes de manter tudo","3311280","Bancada 02","Componentes de gabinete","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","3628599","Kitchen_5847","Componentes de gabinete","0","0","NAO"
"REMOVER_SUGERIDO","Familia generica/MEP detalhada ou sistema pouco usado no fluxo Edgard inicial","3630214","M_Counter Top with sink","Componentes de gabinete","1","0","SIM"
"REMOVER_SUGERIDO","Familia generica/MEP detalhada ou sistema pouco usado no fluxo Edgard inicial","3302012","_Produtos_Arq_Bib_M_Topo da bancada-Ilha","Componentes de gabinete","1","0","SIM"
"REVISAR_COM_USUARIO","Pode ser util, mas precisa escolher kit padrao antes de manter tudo","3365546","churrasqueira 04-rfa","Componentes de gabinete","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","4489436","M_Condição do limite-Fixado","Condições do limite","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4489093","M_Condição do limite-Pregado","Condições do limite","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4489106","M_Condição do limite-Rolo","Condições do limite","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4489119","M_Condição do limite-Variável","Condições do limite","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4554523","M_Cruzamento horizontal da escada","Conexões da bandeja de cabos","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4555318","M_Cruzamento horizontal da guia","Conexões da bandeja de cabos","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4554709","M_Curva externa vertical da escada","Conexões da bandeja de cabos","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4554477","M_Curva horizontal da escada","Conexões da bandeja de cabos","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4554663","M_Curva interna vertical da escada","Conexões da bandeja de cabos","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4554442","M_Dobra externa vertical da guia","Conexões da bandeja de cabos","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4554755","M_Dobra horizontal de guia","Conexões da bandeja de cabos","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4554407","M_Dobra interna vertical da guia","Conexões da bandeja de cabos","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4554549","M_Redutor da escada","Conexões da bandeja de cabos","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4554348","M_Redutor de guia","Conexões da bandeja de cabos","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4554536","M_T horizontal da escada","Conexões da bandeja de cabos","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4555331","M_T horizontal de guia","Conexões da bandeja de cabos","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4554628","M_União da escada","Conexões da bandeja de cabos","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4554394","M_União de guia","Conexões da bandeja de cabos","0","0","NAO"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3461707","M_Capa de extremidade oval","Conexões de duto","1","0","SIM"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3462795","M_Capa de extremidade redonda","Conexões de duto","1","0","SIM"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3467958","M_Cotovelo oval - 90 graus","Conexões de duto","1","0","SIM"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3469080","M_Cotovelo redondo","Conexões de duto","2","0","SIM"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3470077","M_Cotovelo retangular - 90 graus","Conexões de duto","1","0","SIM"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3471051","M_Cotovelo retangular - Raio","Conexões de duto","1","0","SIM"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3472037","M_Cruzamento oval - Reto","Conexões de duto","1","0","SIM"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3473186","M_Cruzamento redondo","Conexões de duto","1","0","SIM"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3474220","M_Cruzamento retangular","Conexões de duto","1","0","SIM"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3475241","M_Curva oval - Gomos","Conexões de duto","1","0","SIM"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3476383","M_Encaixe de duto redondo","Conexões de duto","1","0","SIM"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3477360","M_Encaixe de duto retangular","Conexões de duto","1","0","SIM"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3485709","M_Rectangular Cross","Conexões de duto","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","4554122","M_Rectangular Cross1","Conexões de duto","0","0","NAO"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3486797","M_Rectangular Elbow - Mitered","Conexões de duto","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","4554146","M_Rectangular Elbow - Mitered1","Conexões de duto","0","0","NAO"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3487766","M_Rectangular Elbow - Radius","Conexões de duto","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","4554170","M_Rectangular Elbow - Radius1","Conexões de duto","0","0","NAO"
"MANTER","Familia base ou potencialmente util no template","4100461","M_Rectangular Endcap","Conexões de duto","0","0","NAO"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3488744","M_Rectangular Takeoff","Conexões de duto","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","4554194","M_Rectangular Takeoff1","Conexões de duto","0","0","NAO"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3489849","M_Rectangular Tee","Conexões de duto","1","0","SIM"
"MANTER","Familia base ou potencialmente util no template","4554218","M_Rectangular Tee1","Conexões de duto","0","0","NAO"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3491872","M_Rectangular Transition - Angle","Conexões de duto","1","0","SIM"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3492833","M_Rectangular Union","Conexões de duto","1","0","SIM"
"REMOVER_SUGERIDO","Categoria pouco util para residencial/arquitetura inicial e pesa no template","3490860","M_Rectangular to Round Transition - Angle","Conexões de duto","1","0","SIM"
